                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.4879,                 3.1627,                  7.357,                 1.1054,                0.37339,                0.33167,                0.25209,                0.08385,                0.36281,                 0.3217,                0.24832,                0.06551,                 2.6056,                 2.5537,                   6.26,                 1.0575,              0.0006637,              0.0006637,              0.0006637
                      2,                 2.4869,                 2.9072,                 2.8831,                 1.1062,                0.37241,                0.41646,                0.29905,                0.09607,                 0.3864,                0.41646,                0.31019,                0.09442,                 2.3914,                 2.8064,                 2.7171,                  1.045,              0.0013216,              0.0013216,              0.0013216
                      3,                 2.4423,                 2.8069,                 2.1226,                 1.1086,                 0.4505,                0.30175,                 0.3061,                0.10085,                0.41727,                0.28928,                0.26905,                0.09075,                 2.3596,                 2.7023,                 2.2228,                 1.0281,              0.0019707,              0.0019707,              0.0019707
                      4,                 2.4564,                 2.8192,                 1.8482,                 1.1082,                0.50551,                0.45885,                0.41341,                0.13202,                0.45303,                0.38903,                0.34277,                0.10619,                 2.1593,                 2.5418,                 2.1996,                0.97797,              0.0019604,              0.0019604,              0.0019604
                      5,                 2.3798,                 2.7475,                 1.7017,                 1.0719,                 0.4742,                0.39401,                0.33927,                0.11041,                0.40782,                0.36923,                0.29227,                0.08675,                 2.2876,                  2.737,                 1.8904,                 1.0127,              0.0019604,              0.0019604,              0.0019604
                      6,                 2.3742,                  2.748,                 1.7507,                 1.0883,                0.53338,                0.42893,                 0.4009,                0.12669,                0.54225,                 0.4015,                 0.4005,                 0.1533,                 2.2673,                 2.5545,                 1.8922,                 1.0027,              0.0019472,              0.0019472,              0.0019472
                      7,                 2.3072,                 2.6433,                 1.6325,                 1.0791,                0.45397,                0.41258,                0.37075,                0.12433,                0.46078,                0.42394,                0.40016,                0.13248,                 2.2938,                 2.5465,                 1.9316,                  1.019,               0.001934,               0.001934,               0.001934
                      8,                 2.2834,                 2.6365,                 1.6441,                 1.0644,                 0.4666,                0.32668,                0.31729,                0.11503,                0.51675,                0.36409,                0.37876,                0.13442,                 2.2599,                 2.5663,                 2.1327,                 1.0002,              0.0019208,              0.0019208,              0.0019208
                      9,                 2.2969,                 2.6692,                 1.6784,                 1.0634,                0.54086,                0.49939,                0.48858,                0.17027,                0.51721,                0.48628,                0.47336,                0.15878,                 2.2609,                 2.4807,                 2.0823,                 1.0119,              0.0019076,              0.0019076,              0.0019076
                     10,                 2.2845,                 2.6656,                 1.5836,                 1.0716,                0.57822,                0.47382,                0.47425,                0.15462,                0.48791,                0.38404,                0.38162,                0.11673,                 2.2557,                 2.4406,                 1.8488,                0.98977,              0.0018944,              0.0018944,              0.0018944
                     11,                 2.2548,                  2.579,                 1.5817,                 1.0674,                0.59588,                 0.4015,                0.41316,                0.14231,                0.59343,                0.37406,                0.40615,                0.12758,                  2.213,                 2.5533,                 1.8088,                 1.0047,              0.0018812,              0.0018812,              0.0018812
                     12,                 2.2632,                 2.6374,                  1.566,                 1.0593,                0.46569,                0.38404,                0.38811,                0.13901,                0.49665,                  0.374,                0.40206,                0.13573,                 2.2468,                 2.7726,                 2.0038,                 1.0239,               0.001868,               0.001868,               0.001868
                     13,                  2.205,                 2.5859,                 1.5059,                 1.0562,                0.51566,                0.39651,                0.41062,                0.16092,                0.51303,                0.39671,                0.44099,                0.16719,                 2.1905,                 2.5128,                  1.781,                0.99301,              0.0018548,              0.0018548,              0.0018548
                     14,                 2.2493,                 2.6168,                  1.529,                 1.0362,                0.52278,                0.45885,                0.41762,                 0.1383,                0.50944,                0.43392,                0.39808,                0.11505,                 2.2502,                 2.6305,                 1.7688,                0.99291,              0.0018416,              0.0018416,              0.0018416
