                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.5295,                 3.3249,                 7.5603,                 1.1299,                 0.0007,                 0.1732,                0.00043,                0.00018,                0.00089,                0.21895,                0.00058,                 0.0002,                 2.4666,                 3.0718,                   9.32,                 1.1533,             0.00065741,             0.00065741,             0.00065741
                      2,                  2.544,                 3.0189,                 4.0522,                 1.1218,                0.37567,                0.33333,                0.25032,                0.07778,                0.36171,                0.31297,                0.23826,                0.06634,                 2.5986,                 3.0507,                 4.3703,                 1.1869,              0.0013153,              0.0013153,              0.0013153
                      3,                 2.5418,                 2.9562,                 3.1537,                 1.1167,                0.43181,                0.48693,                0.41947,                0.13954,                0.43653,                0.39542,                 0.3417,                0.11251,                 2.4234,                 3.5558,                 2.8455,                 1.1553,              0.0019645,              0.0019645,              0.0019645
                      4,                 2.4505,                 2.9281,                 2.3617,                 1.1046,                0.43205,                0.46489,                0.35855,                0.12138,                0.39774,                0.38889,                0.31189,                 0.0961,                 2.4054,                 3.1095,                 2.6735,                 1.1082,              0.0019604,              0.0019604,              0.0019604
                      5,                  2.476,                 2.8794,                 2.1029,                 1.0934,                0.47065,                0.43464,                0.35634,                0.11321,                0.41522,                0.34967,                0.29732,                0.08177,                 2.4173,                 3.1158,                 2.5242,                 1.1175,              0.0019604,              0.0019604,              0.0019604
                      6,                 2.4159,                 2.7165,                 1.8882,                 1.0501,                0.51624,                0.31046,                0.34587,                0.12358,                0.47684,                0.30382,                0.32405,                0.11928,                 2.4341,                 3.3305,                 2.3347,                 1.1155,              0.0019472,              0.0019472,              0.0019472
                      7,                 2.3602,                 2.7889,                 1.8385,                 1.0667,                0.49439,                0.44736,                0.39105,                0.13251,                0.45426,                0.37582,                0.32814,                 0.0944,                 2.4585,                 2.9448,                 2.2273,                 1.0999,               0.001934,               0.001934,               0.001934
                      8,                 2.4155,                 2.7243,                 1.9047,                 1.0897,                0.45326,                0.39869,                0.33905,                0.11665,                0.36255,                0.34641,                0.26744,                 0.0821,                 2.3185,                 2.9117,                  2.117,                 1.1067,              0.0019208,              0.0019208,              0.0019208
                      9,                 2.3317,                 2.7762,                 1.7889,                  1.064,                  0.531,                0.42921,                0.42402,                0.12796,                0.43581,                0.35621,                0.32364,                0.08902,                 2.3789,                 2.9189,                 2.1926,                 1.1142,              0.0019076,              0.0019076,              0.0019076
                     10,                 2.3448,                 2.6869,                 1.7434,                 1.0534,                0.55524,                0.45425,                0.43827,                0.14772,                0.38583,                0.35294,                0.27071,                0.08522,                  2.371,                 3.0553,                 2.5409,                 1.0998,              0.0018944,              0.0018944,              0.0018944
                     11,                 2.3295,                 2.6619,                 1.6827,                 1.0698,                0.53115,                0.38873,                0.41349,                0.15278,                0.40308,                0.30065,                0.29583,                0.10082,                 2.3468,                 3.1645,                 2.1369,                 1.0874,              0.0018812,              0.0018812,              0.0018812
                     12,                 2.3039,                 2.6695,                 1.6656,                 1.0498,                0.56139,                0.56863,                 0.5105,                0.17051,                0.45156,                0.46078,                0.37401,                0.11997,                 2.2827,                 2.7689,                 1.7929,                 1.0877,               0.001868,               0.001868,               0.001868
                     13,                 2.2574,                 2.6497,                 1.6415,                 1.0557,                 0.5102,                 0.5855,                0.48816,                0.17243,                0.47462,                0.51664,                0.43455,                0.13319,                 2.2826,                 2.8487,                 1.7545,                 1.0859,              0.0018548,              0.0018548,              0.0018548
                     14,                 2.2817,                  2.631,                 1.5788,                 1.0487,                0.50824,                0.51001,                0.42506,                0.14659,                0.46556,                0.38235,                0.30014,                0.08814,                 2.3851,                 3.0549,                 1.8184,                 1.1024,              0.0018416,              0.0018416,              0.0018416
                     15,                 2.2631,                 2.6866,                 1.5978,                 1.0388,                0.61217,                0.48693,                0.49878,                 0.1969,                0.46628,                0.48039,                0.42964,                0.13672,                 2.2138,                 2.8071,                 1.6758,                  1.077,              0.0018284,              0.0018284,              0.0018284
                     16,                 2.2575,                 2.6613,                 1.6625,                 1.0453,                0.56775,                 0.5098,                0.48741,                0.19203,                0.47817,                0.46415,                0.41621,                0.13687,                 2.2111,                 2.8335,                 1.7343,                 1.0626,              0.0018152,              0.0018152,              0.0018152
                     17,                 2.1981,                 2.6122,                 1.5298,                 1.0307,                0.58806,                0.48039,                0.47658,                0.16638,                0.41356,                0.33333,                0.26888,                0.08068,                 2.2921,                 3.0389,                 1.7884,                 1.0571,               0.001802,               0.001802,               0.001802
                     18,                 2.2163,                 2.5673,                 1.5597,                 1.0283,                0.64935,                 0.5098,                0.49218,                0.19176,                0.53622,                0.47386,                0.46115,                0.16346,                 2.2031,                 2.8066,                 1.6973,                 1.0413,              0.0017888,              0.0017888,              0.0017888
                     19,                 2.2224,                 2.6045,                 1.5243,                 1.0081,                0.54896,                0.49673,                0.46281,                0.16524,                0.42398,                0.41503,                0.34982,                0.09937,                 2.3018,                  2.855,                 1.7483,                 1.0632,              0.0017756,              0.0017756,              0.0017756
                     20,                 2.1715,                 2.6206,                 1.5222,                 1.0194,                0.55285,                0.50102,                0.46099,                 0.1687,                0.42297,                0.36275,                0.32346,                0.10083,                 2.2838,                 2.7541,                 1.8027,                  1.054,              0.0017624,              0.0017624,              0.0017624
                     21,                 2.1228,                 2.5437,                 1.4688,                 1.0206,                0.55744,                0.55229,                0.48626,                0.19532,                0.54609,                0.49932,                0.46063,                0.16362,                  2.241,                  2.579,                 1.6396,                 1.0707,              0.0017492,              0.0017492,              0.0017492
                     22,                 2.1767,                 2.5899,                 1.5083,                  1.016,                0.57955,                0.55882,                0.51429,                0.20147,                 0.5499,                 0.5098,                0.46282,                0.15458,                 2.1567,                 2.8789,                 1.6404,                 1.0531,               0.001736,               0.001736,               0.001736
                     23,                 2.1137,                 2.4936,                 1.4321,                 1.0205,                0.62509,                0.52614,                0.50731,                0.18125,                0.49763,                0.42157,                0.36908,                 0.1059,                  2.389,                 2.8551,                 1.6693,                 1.0807,              0.0017228,              0.0017228,              0.0017228
